,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
22,128075780,milk frother,"A milk frother to pack a powerful, spinning punch despite looking rather delicate. It'll help transform their at-home coffee into one worthy of an actual spot on their 'gram (seriously, a fleeting IG story simply won't do it justice!).",in stock,new,19.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075780,https://img.buzzfeed.com/buzzfeed-static/static/2021-08/22/16/asset/c14e421fa17d/sub-buzz-8424-1629651019-1.jpg?resize=625:*,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
26,128068642,book,"The World of Critical Role book for anyone who is infatuated with Dungeons & Dragons, the cast of the show, and, like myself, has taken the time to binge-watch their YouTube episodes.",in stock,new,17.5 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068642,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/20/23/asset/cc05cf3f807d/sub-buzz-18084-1605913570-23.jpg?resize=625:*,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
27,128071272,set of custom stickers,"A set of custom stickers you'll be able to make of whoever you want — your pet, your own face, Harry Styles, the list goes on and on.",in stock,new,15.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128071272,https://img.buzzfeed.com/buzzfeed-static/static/2018-11/21/11/asset/buzzfeed-prod-web-06/sub-buzz-13063-1542817166-1.jpg,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion,skincare"
28,128068647,tabletop fireplace,A tabletop fireplace with removable glass so they can enjoy a freshly made s'more any time of year — yum.,in stock,new,24.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068647,https://img.buzzfeed.com/buzzfeed-static/static/2018-11/12/14/asset/buzzfeed-prod-web-02/sub-buzz-20505-1542051813-3.jpg?resize=625:413,"Amazon,etsy",hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
29,128068651,trivia book,A Jeopardy trivia book to properly commemorate one of the greatest men to ever grace our televisions.,in stock,new,7.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068651,https://img.buzzfeed.com/buzzfeed-static/static/2019-12/9/4/asset/c970d87c6330/sub-buzz-1585-1575865231-1.jpg?resize=625:720,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
30,128068652,adventure book,An adventure book just like the one Carl and Ellie created together in Up before Pixar went ahead and crushed all of our souls into a million pieces — they'll love it ;).,in stock,new,15.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068652,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/5/15/tmp/cd46d45638ee/cd8ae10ad60d53aa51459a065a6668e5-39.jpg,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
31,128068660,jumper,A jumper worn by the likes of Princess Diana that'll make any true follower of the royal family weep with joy (I know I would).,in stock,new,295.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068660,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/25/17/asset/eca776f9d843/sub-buzz-422-1606324733-15.jpg?resize=625:*,rowingblazers,hbraga/best-gifts-2021,USD,fast fashion
33,128075799,Matte hair clips,"Matte hair clips made to work with *all* hair types — yes, even if they've broken your hairbrush while trying to comb through their bedhead, they can rock one of these beauties!",in stock,new,12.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075799,https://img.buzzfeed.com/buzzfeed-static/static/2021-08/24/20/asset/e390d694ccb1/sub-buzz-631-1629836150-1.png,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
36,128075802,mug warmer,"A mug warmer, because even if they're the self-proclaimed ""busiest person on the planet"" they deserve to have hot coffee.",in stock,new,11.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075802,https://img.buzzfeed.com/buzzfeed-static/static/2019-10/14/17/asset/21305dd5c0a9/sub-buzz-9787-1571075707-1.jpg?resize=625:374,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
38,128068661,face wash foamer,A face wash foamer they can use to make the cleanser they're already accustomed to feel extra fancy.,in stock,new,7.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068661,"https://img.buzzfeed.com/buzzfeed-static/static/2020-11/14/21/asset/184616d5f766/sub-buzz-6450-1605390470-18.jpg?crop=1000:888;0,0&resize=625:*",Amazon,hbraga/best-gifts-2021,USD,cleaning
